ts,key,val_size,tntid,op,ttl
0,q:q:1:85nmrbZune4,656,0,get,0
0,q:zFv:1:FD:Fu6IFOdaNK1J,54,0,set,43200
0,q:q:1:8WT0mgXHJe5,707,1,get,0
0,q:q:1:8WTwxkw1Uee,1147,1,get,0
0,q:q:1:8W8u+5P1ieT,244,1,get,0
0,yDqF:vq:1AJA1r9r9GCrnG1CCrr,27,1,get,0
0,yDqF:gY:1K9AJGAC19AAKC9GAnG,27,0,get,0
0,yDqF:gY:1AJrKrGJKrCnAJ111r9,27,1,get,0
0,yDqF:vq:1AJr9rAG1rrGn1K1r1G,27,1,get,0
0,q:q:1:8WTLSAX1Wee,344,1,get,0
0,yDqF:gY:1AJrnx9ArGAACxGGJGn,27,1,get,0
0,yDqF:vq:1AJAnKAxGGGrJrAGnG1,27,1,get,0
0,q:q:1:EPf686sOee,0,0,get,0
0,yDqF:3q:1AJrAx19GnAKx1xJJxG,27,0,get,0
0,yDqF:vS:1AJrnnC1KAx9JKJCGCA,27,1,get,0
0,q:q:1:8WTPfMq1Kee,734,1,get,0
1,yDqF:gY:1AJrKKnJK1GJKAJA9GG,27,1,get,0
1,yDqF:3q:1AJrrGA1G9A9JAJJAAJ,27,0,get,0
1,q:q:1:8W8GtoE1xee,555,0,get,0
1,q:iSj:1:caraAKCJdrrgcaK9:SD,319,1,get,0
1,q:q:1:8W8jjiYWJe4,1529,1,get,0
1,yDqF:vS:1AJrJG9rn1AxAnCxGJr,27,0,get,0
1,yDqF:vq:1AJrJCCG9JrJKCCKG19,27,1,get,0
1,yDqF:vS:1AJ11J9AJAnxrr91xAK,38,0,get,0
1,yDqF:gY:1AJrn1G1xnGCJ9ACnGJ,27,0,get,0
1,yDqF:vq:1AJAKGxGK1xrA9KCJxK,27,1,get,0
1,q:q:1:8WToneJW7ee,1120,1,get,0
1,q:q:1:85xo9ueWJeT,390,0,get,0
1,yDqF:vS:1AJrnKAGCrnJnAAGAxr,27,0,get,0
1,yDqF:vq:1AJrrxxGC9C1JJGCG1K,27,1,get,0
1,yDqF:vq:1AJrnJJn9CCnCxx9KrA,27,0,get,0
1,yDqF:vS:1ArxAKrKA1GK1C1CC9K,27,0,set,86400
1,q:q:1:8WTP4+TW4ee,559,0,get,0
1,q:q:1:mV4GtiiRee,367,1,get,0
1,yDqF:vq:1AJr1xnGCAC9rxxJ11A,38,0,get,0
1,q:q:1:GXQTJkWleT,0,0,get,0
1,q:q:1:8WTPLBSWKe8,326,1,get,0
2,yDqF:gY:1AJ1nKn1xJGAGx1GCGC,38,1,get,0
2,yDqF:vq:1AJrnCAJAAJx1CAnGAC,27,0,get,0
2,yDqF:gY:1AJAnGG1AJK91xA1AGK,27,1,get,0
2,q:iF:1:nUveaxuCeT,17,1,get,0
2,yDqF:gY:1AJrnAnn9J99AC1Jr9G,27,0,get,0
2,q:q:1:8WT22v7unee,3576,1,get,0
2,yDqF:gY:11GCKKrAGGnCAJAKKxG,27,0,set,86400
2,yDqF:gY:1AJr91nKAGnA11CCKxK,27,1,get,0
2,yDqF:vq:1AJrJ9JrAxGrrJn1nAK,27,0,get,0
2,yDqF:vq:1AJr1C1C9A9GKKnrC9n,27,0,get,0
2,yDqF:gY:1AJrJCn9nKn1nCJACA1,27,0,get,0
2,yDqF:vq:1AJr9AJCACGJJx1CAJG,27,1,get,0
3,yDqF:vS:1AJr9JKA1rrAK1x91K1,27,1,get,0
3,yDqF:vq:1AJrnGnGKAnrxnG1JJK,27,1,get,0
3,yDqF:vq:1AJr9A1CGJx99KKJCr9,27,1,get,0
3,yDqF:vq:1AJrrnJCnJKnAnK1nKn,27,1,get,0
3,yDqF:vS:1AJrJGJ1G9AxCCrr1AK,27,0,get,0
4,yDqF:gY:1AJrnGxrnGAK1xxnA9n,27,1,get,0
4,yDqF:vq:1AJrnJJxn99Kr9xn11A,27,1,get,0
4,yDqF:vq:1AJrK9AJn99C9CrCKAJ,27,0,get,0
4,yDqF:vS:1ArCKGKnxr9rG11CrCC,27,0,get,0
4,yDqF:gY:1AJAx9CnCx999AK9CA1,27,0,get,0
4,yDqF:vq:1A11x9nCCx1r91x99Kx,38,0,get,0
4,q:q:1:8We6IieuCeT,698,1,get,0
5,yDqF:vS:1AJrJCC9JnJK9AnrKn9,27,1,get,0
5,yDqF:vq:1AJr9rC9ArK1Jnrn19x,27,0,get,0
5,q:q:1:8WTQlSHWiee,310,1,get,0
5,q:q:1:8WTlVaEuCeZ,216,0,get,0
5,yDqF:gY:1AJrrAJA9GKrKCKxC9K,27,0,get,0
