ts,key,val_size,tntid,op,ttl
0,q:q:1:8WTPbBaunem,211,2,get,0
0,yDqF:vq:1AJAK91G1KAGKJ1xrAG,27,2,set,86400
0,q:q:1:BAqXR81ree,0,1,set,0
0,q:q:1:8WTwwoQ1CeT,920,2,get,0
0,yDqF:vS:1AJrn9AGCGxn9G9rJxA,27,2,get,0
0,q:q:1:85+4Cq0WKe8,734,0,get,0
0,yDqF:gY:1AJ1Crn9rGKr91n9J19,27,0,get,0
0,yDqF:3q:1AJrJrACnGKG9nxG99C,27,1,get,0
0,q:q:1:85/z3Q91veT,729,0,get,0
0,yDqF:gY:11JAG1A1AJx91r91xAA,27,0,get,0
0,yDqF:gY:1AJr9Jn91J9JJ1CGxJJ,27,2,get,0
0,q:q:1:88Fx+g11ve8,376,2,get,0
0,yDqF:vq:1AJACxAx1Kn9KJJGn1J,27,0,get,0
0,yDqF:3q:1AJrnGKxxKKGCJGrrx9,27,0,get,0
0,q:q:1:8WTwwoQ1CeT,920,0,get,0
0,yDqF:vq:1AJr9Ax9KrK9JG9JCCG,27,0,get,0
0,yDqF:vS:1AJrJxAr1x99x9xKr9G,27,2,get,0
0,yDqF:vS:1AJAGKC1AnKxKA9rKJC,27,1,get,0
0,q:q:1:8WTPbBaunem,211,2,get,0
0,q:q:1:85/icNyuWee,569,0,get,0
0,q:q:1:8WTwwoQ1CeT,920,0,get,0
0,yDqF:gY:1AJrAK1KGG9AKAxKKnJ,27,0,get,0
0,yDqF:gY:1AJr9rxCC19rJCCJK19,27,0,get,0
0,yDqF:gY:1AJ1GrCC9xxrJ1xA9JK,27,0,get,0
0,q:q:1:8W89cKJWLee,997,0,get,0
0,yDqF:vS:1AJrJxA11CAKArKx1A1,27,0,get,0
0,yDqF:vS:1AJrJxCnG9nKC91A19A,27,0,get,0
0,yDqF:vS:1AJrAn9JnC9xJrJCA9J,38,1,get,0
0,yDqF:vq:1AJrnCA1KC9nGGAnCrK,27,0,get,0
0,yDqF:3q:1AJrnKGCxGxrKCxAJJG,27,2,get,0
0,q:q:1:85/icNyuWee,569,2,get,0
0,q:q:1:8WTPf2uHxe4,634,0,get,0
0,yDqF:vq:1AJrnn1AJJC9ACx1xr9,27,1,get,0
0,yDqF:vq:1AJrJJrn1GGrC9rrKAJ,27,1,get,0
0,q:q:1:8W8zMb8W7ee,304,1,get,0
0,yDqF:vS:1AJrnCxnxAxAAGJ1KGx,27,2,get,0
0,yDqF:gY:1AJAnKGn19KC1nrKnKJ,27,1,get,0
0,q:q:1:8WTwwoQ1CeT,920,1,get,0
0,yDqF:gY:1AJAx1xAAAJKCAJnGAx,27,2,get,0
