ts,key,val_size,tntid,op,ttl
0,yDqF:vS:1AJrAx9Kx1KCrGn1rxx,27,0,get,0
0,yDqF:vS:1AJ11J1KJCnxx919KKK,27,2,get,0
0,yDqF:vq:1ArnAJGGrrnKnG19nC9,27,1,set,86400
1,yDqF:gY:1AJr9KCGn9J999JxKGG,27,2,get,0
1,q:q:1:8W8u+5P1ieT,244,2,get,0
1,yDqF:vS:1AJKCJ11JKnxJrC9CK9,27,0,get,0
1,yDqF:vq:1AJr1CxxGKGAAxxJxJJ,38,2,get,0
1,yDqF:gY:1AJ1Crn9rGKr91n9J19,27,1,get,0
2,yDqF:vS:111rJn1xK9rA9GACKKG,0,2,get,0
2,yDqF:vq:1AJrnAJ99rx9nAxKJx9,27,1,get,0
2,q:q:1:nqUjrhHree,0,1,get,0
2,yDqF:3q:1AJr9KGrxKCAKnAJAx9,27,1,get,0
2,yDqF:vS:1AJrJn1x119Cr9xA19A,27,0,get,0
2,yDqF:vq:1G9GGKC1KxxnJGKnC9,27,1,get,0
2,yDqF:vS:1AJr9JnrAKr1r19rCGJ,27,1,get,0
3,q:q:1:8WT4YjS1Xe8,461,1,get,0
3,q:q:1:8WTTBJwHve8,259,2,get,0
3,q:q:1:8WT0mgXHJe5,707,2,get,0
4,q:q:1:8WTluiRH3e4,234,0,get,0
4,yDqF:vq:1AJrnrCKrKrrrGJnnKn,27,2,get,0
4,yDqF:vS:1AJrJ1Gr9xC1xnnG1JJ,27,1,get,0
4,yDqF:vq:1AJKnx19CxAJrKC1JGx,27,2,get,0
5,yDqF:vq:1AJrJxJ99JACC11GxC9,27,2,get,0
5,yDqF:vq:1AJrA1Ax9GArxCGrxrC,38,2,get,0
5,yDqF:vq:1AJrJJrn1GGrC9rrKAJ,27,1,get,0
5,yDqF:gY:1AJ1GKCC9nxxCAArxJA,27,0,get,0
5,q:q:1:kp/DdSsuee,265,1,get,0
5,yDqF:vS:1A1KA1JrJnxxGCG9n9K,27,0,get,0
5,yDqF:vq:11xJA1C1J9rAKKGJxxA,0,1,set,0
5,q:q:1:85JB5tlW4ee,691,0,get,0
5,yDqF:3q:1AJrJrACnGKG9nxG99C,27,1,get,0
5,q:q:1:8WT0fAQ14ee,587,0,get,0
6,q:q:1:8WTLkm6uZe8,212,1,get,0
6,yDqF:3q:1AJrnrrCKCxnGrJnCAx,27,2,get,0
6,yDqF:gY:11rCCKKn9nr1JJ919xG,27,1,get,0
6,yDqF:vS:1AJAJCGAGxAx1119nJn,27,1,get,0
6,q:q:1:8WTPbBaunem,211,1,get,0
6,q:q:1:8WTPbCRuCee,17,1,set,1209600
6,q:q:1:8WTP5s4uCee,672,1,get,0
6,yDqF:vS:1AJrnArr9xKJxJGxJKG,27,2,get,0
6,yDqF:gY:1AJA9n99x99KrCxxnnA,27,0,get,0
6,q:q:1:8WTw0OWW7ee,329,0,get,0
6,q:q:1:8We4D0DuQee,655,2,get,0
7,yDqF:gY:1AJA1xAC9A99CArCrG1,27,0,get,0
7,yDqF:vS:1AJr9rGJxAxxAG9JA9A,27,1,get,0
7,yDqF:vS:1AJrrnnnJJ1rCnn1GCJ,38,1,get,0
7,yDqF:gY:1AJAGCnJACKnCCrCCrK,38,1,get,0
7,q:q:1:8W8KkVruAee,458,0,get,0
8,yDqF:vS:1AJrAnJrr1nxCn9nxnr,27,1,get,0
8,q:q:1:859Yrh31nee,323,0,get,0
8,q:q:1:85gKThlWzeT,421,2,set,1209600
8,q:q:1:8WeqZQFuLee,635,2,get,0
8,yDqF:vS:11xxnJnJKJxxCnnKKGK,27,1,get,0
8,yDqF:gY:1AJAx9CnCx999AK9CA1,27,0,get,0
8,q:q:1:2eumgJsRe8,228,0,get,0
8,q:q:1:CBmPJhHvee,1494,0,get,0
9,yDqF:vS:1AJr9JnArxCJGxn919K,27,0,get,0
9,q:q:1:85UdS7XHnee,425,1,get,0
9,yDqF:vq:1AJr1Jn9CKAnJJnACrC,27,0,get,0
9,yDqF:vS:1AJrnnJ9KnKnK9Knn9G,27,1,get,0
9,q:q:1:859ZBoyWleT,348,2,get,0
10,yDqF:vq:1AJrrG1CnGKKK9JGAKA,27,2,get,0
10,yDqF:vq:1AJrAAn1GK11nAnnAxC,27,1,get,0
10,q:q:1:8WToDo7HXee,527,2,get,0
10,yDqF:vq:1A1GA9n9AAKnGKxJnxJ,27,0,get,0
10,yDqF:vS:1AJrJ9rKnrJK1G99AJK,27,1,get,0
11,yDqF:vS:1AJAxAJAKGGKnJJ1nr9,27,0,get,0
11,yDqF:vq:1ArnACnrx9GGKAGxCxA,27,2,get,0
11,q:q:1:8WTwwoQ1CeT,920,0,get,0
11,q:q:1:8W8ZASl1AeZ,817,0,get,0
11,q:q:1:8WTo0jl1Xe8,369,0,get,0
11,q:q:1:8WTP5s4uCee,672,0,get,0
11,yDqF:vq:1AJrnJ11CC9nrAJrxKx,27,0,get,0
11,yDqF:vq:1ArJnKnJG9KC1GGxxA9,0,1,get,0
11,q:q:1:8WT2pcL1Ue8,446,0,get,0
11,yDqF:vS:1AJAG191K9x9nG11AK1,27,1,get,0
